year,euphoric,happy,midrange,sad,depressive
1941-1944,0.125204013377926,0.220423634336678,0.183707915273132,0.305790412486065,0.164874024526198
1945-1949,0.18831746031746,0.164126984126984,0.173460317460317,0.328634920634921,0.145460317460317
1950-1954,0.212592592592593,0.142222222222222,0.18962962962963,0.325925925925926,0.12962962962963
1955-1959,0.336982456140351,0.242736842105263,0.188561403508772,0.190315789473684,0.0414035087719298
1960-1964,0.398420701864001,0.262102884515256,0.168726856190774,0.140422576278246,0.0303269811517234
1965-1969,0.305665627618383,0.330586457860409,0.209068741441232,0.13822552976698,0.0164536433129953
1970-1974,0.37436217848589,0.259897948557742,0.220639383525982,0.112360720608143,0.032739768822243
1975-1979,0.339343572480539,0.280223017041868,0.179991584262571,0.143130654323585,0.057311171891437
1980-1984,0.336622612370239,0.289364495436253,0.145875017346267,0.143805426360059,0.0843324484871817
1985-1989,0.343701187129022,0.245934864104967,0.178416250130168,0.172313990419661,0.0596337082161825
1990-1994,0.222500947177411,0.270594960351486,0.218653745172719,0.209329309768003,0.0789210375303816
1995-1999,0.19063488790608,0.281349311465683,0.229021469287711,0.228648411326768,0.0703459200137583
2000-2004,0.228217223252938,0.307763760049474,0.241862863327149,0.161191197691198,0.0609649556792414
2005-2009,0.128630952380952,0.283430272108844,0.316214285714286,0.200200680272109,0.0715238095238095
2010-2014,0.128433078948543,0.307394372931928,0.262760149358088,0.238164731684614,0.0632476670768277
2015-2016,0.0783029001074116,0.186412459720731,0.310794844253491,0.320193340494092,0.104296455424275
