year,euphoric,happy,midrange,sad,depressive
1940,0.156779661016949,0.194915254237288,0.175847457627119,0.311440677966102,0.161016949152542
1950,0.318181818181818,0.20979020979021,0.195804195804196,0.211538461538462,0.0646853146853147
1960,0.352459016393443,0.296106557377049,0.188524590163934,0.139344262295082,0.0235655737704918
1970,0.356850715746421,0.269938650306748,0.20040899795501,0.127811860940695,0.0449897750511247
1980,0.340512820512821,0.267692307692308,0.162051282051282,0.157948717948718,0.0717948717948718
1990,0.206860706860707,0.275467775467775,0.223492723492724,0.219334719334719,0.0748440748440748
2000,0.178389398572885,0.295616717635066,0.279306829765545,0.180428134556575,0.0662589194699287
2010,0.114035087719298,0.273391812865497,0.276315789473684,0.261695906432749,0.0745614035087719
